ID,NAME,EMAIL,CEP
1,Pietra Moraes,onogueira@nascimento.net,40015-000
2,Srta. Fernanda da Cunha,fariasisaac@da.com,80240-030
3,Luiza da Cunha,costayasmin@uol.com.br,60110-000
4,Marcos Vinicius Castro,davi-luizda-mota@ramos.br,80010-000
5,Yago Costa,cunhastella@costa.br,20550-030
6,Luana Rezende,pedro34@da.br,30240-110
7,Murilo Nascimento,caiomoura@vieira.org,30240-110
8,Yago Costela,isadoracarvalho@teixeira.net,20550-030
9,Sofia da Cunha,moreiracarolina@fogaca.com,30240-110
10,Alana da Paz,marceloda-cruz@hotmail.com,01001-000
11,Stella da Cruz,lpeixoto@yahoo.com.br,80010-000
12,Isadora Duarte,sarahcardoso@hotmail.com,20010-000
13,Ana Laura Nogueira,da-luzian@souza.br,20230-015
14,Levi Cunha,vieiralorena@uol.com.br,69005-070
15,Marcos Vinicius Araújo,da-rochabenjamin@teixeira.org,90010-320
16,Luiz Gustavo Gonçalves,gustavo02@uol.com.br,40285-001
17,João Silveira,barbaramoreira@gmail.com,60110-000
18,Catarina das Neves,yfogaca@carvalho.com,60025-060
19,Ana Gomes,mouraelisa@vieira.br,20230-015
20,Beatriz da Luz,vicente75@araujo.net,70800-020
21,Kevin Cunha,moraesjoao-lucas@uol.com.br,01310-100
22,Luiza Cavalcanti,fariaseduardo@bol.com.br,80610-270
23,Sra. Letícia da Paz,pda-rosa@araujo.net,30110-012
24,Samuel Moreira,pereiranicole@da.com,60871-120
25,Thomas da Mata,arodrigues@bol.com.br,31015-970
26,Nathan Peixoto,ana-beatrizalves@ig.com.br,40100-001
27,Rebeca Monteiro,marcelobarros@gmail.com,70800-020
28,Rebeca Porto,cardosolucca@costa.com,60110-000
29,Bryan Oliveira,pmartins@melo.br,80610-270
30,Rafael Costa,bryan98@gmail.com,30240-110
31,Nicole Peixoto,rezenderaquel@nunes.com,01001-000
32,André Cardoso,da-rosadavi-lucas@hotmail.com,60025-060
33,Enrico Costela,jda-cruz@bol.com.br,20010-000
34,Yasmin Novaes,vsilva@uol.com.br,40100-001
35,Isis Rezende,ana-clarada-costa@ig.com.br,69005-070
36,Sr. Augusto Ferreira,jcardoso@uol.com.br,01001-000
37,Isabella Carvalho,ada-conceicao@hotmail.com,31015-970
38,Isadora Rezende,evelynpereira@hotmail.com,70910-900
39,Eduardo Lima,benicioda-cunha@fogaca.com,69090-055
40,Dra. Alana Rodrigues,yporto@da.com,70910-900
41,Dra. Agatha Gonçalves,xduarte@ferreira.br,40285-001
42,Daniela Carvalho,ana-carolina42@uol.com.br,31015-970
43,Isadora Martins,marcelolopes@ig.com.br,80610-270
44,Fernanda Martins,ferreiradiego@aragao.org,30240-110
45,Valentina Almeida,anogueira@ferreira.br,20550-030
46,Esther da Rocha,maria-cecilia70@cavalcanti.br,70910-900
47,Sr. Antônio da Conceição,ramoslucas-gabriel@das.com,90010-320
48,Luiz Miguel Sales,maite54@lopes.org,02011-000
49,João Gabriel da Luz,da-cunhagabriela@costa.net,01310-100
50,Gabriel Rodrigues,rcampos@nascimento.com,70910-900
51,Lavínia Cunha,maria19@caldeira.com,80610-270
52,Igor Cardoso,gabrielasales@gmail.com,40285-001
53,Levi Pires,isabella07@jesus.br,40285-001
54,Stella Ramos,portoana-julia@barbosa.org,90010-320
55,Sarah Cardoso,ana-sophia57@carvalho.br,60110-000
56,Sra. Brenda Santos,bferreira@bol.com.br,70800-020
57,Joaquim Araújo,vsantos@cardoso.org,80610-270
58,Pietro Ferreira,maria-luiza05@pinto.com,40100-001
59,Sr. Arthur Carvalho,ana-carolina23@peixoto.com,01001-000
60,Otávio Mendes,pnovaes@da.com,69005-070
61,Sra. Vitória Aragão,luiz-henriquealves@fogaca.br,20230-015
62,Gabrielly Pires,vieiraleandro@moura.net,01310-100
63,Pedro Henrique Gonçalves,psantos@hotmail.com,01001-000
64,Srta. Larissa Araújo,alvesana-julia@bol.com.br,69020-120
65,Nicolas Cardoso,nunesnina@bol.com.br,80010-000
66,Sra. Brenda Gomes,zpinto@uol.com.br,70040-010
67,Levi da Conceição,da-conceicaovicente@ig.com.br,60871-120
68,Kaique Cardoso,davi17@hotmail.com,69020-120
69,Sra. Maria Fernanda Gonçalves,vianavinicius@yahoo.com.br,80010-000
70,Clarice Lopes,diego08@martins.br,90440-070
71,Sr. Caio Azevedo,luiz-henrique39@viana.org,31015-970
72,Srta. Rafaela Moraes,qaraujo@freitas.net,01310-100
73,Raquel Pereira,thiagoalmeida@costela.br,80010-000
74,Kevin Oliveira,rebecaaragao@ig.com.br,20010-000
